מוסד,רשות,סוג פיקוח,מחוז,מגזר,מפקח,מנהל,כיתה,מקבילה,סוג חינוך כיתה,פוטנציאל תלמידים,קורסים שנפתחו,תחום,מחוז תקשוב,,,,,,,,
148197- מקיף בית חנינה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,מגדי עוויסאת,ז,3,רגיל,30,1,מתמטיקה,העיר ירושלים,,,,,,,,
148247- מקיף שש שנתי אלטור לבנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,מוחמד דעיס,ז,4,רגיל,28,1,מתמטיקה,העיר ירושלים,,,,,,,,
148254- שועפט בנות ב',ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,מיסון חלאק,ז,3,רגיל,31,1,מתמטיקה,העיר ירושלים,,,,,,,,
148262- אלעלא,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,סלאם עיד,ז,1,רגיל,25,1,מתמטיקה,העיר ירושלים,,,,,,,,
148288- כפר עקב,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,אוסאמה טוטח,ז,3,רגיל,36,1,מתמטיקה,העיר ירושלים,,,,,,,,
160473- אלוואדי למצוינות,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,עבדלרחמן אחסין,ז,2,רגיל,27,1,מתמטיקה,העיר ירושלים,,,,,,,,
160598- ארץ הצבי,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,יוסף איזמן,ז,1,רגיל,24,1,מתמטיקה,העיר ירושלים,,,,,,,,
"170092- קשת ראם ע""ש אליס סליגסברג",ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,גלית חזיזה קמיניץ,ז,4,רגיל,23,1,מתמטיקה,העיר ירושלים,,,,,,,,
178137- אמירה בסמא,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,שירין סעיד,ז,1,רגיל,23,1,מתמטיקה,העיר ירושלים,,,,,,,,
184010- פריר בית חנינא,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,גורג נבר,ז,4,רגיל,33,1,מתמטיקה,העיר ירושלים,,,,,,,,
186395- ראשית,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,שרה אבישי,ז,2,רגיל,4,1,מתמטיקה,ירושלים,,,,,,,,
"192997- חט""ב עיסוויה בנים",ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,חדר עביד,ז,5,רגיל,33,1,מתמטיקה,העיר ירושלים,,,,,,,,
193003- מקיף עיסוואיה לבנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,פאטמה עבידאת,ז,4,רגיל,27,1,מתמטיקה,העיר ירושלים,,,,,,,,
"198085- חט""ב ראס אל-עמוד",ירושלים,ממלכתי,העיר ירושלים,ערבי,רנה ח'לף,סאלח סאלח,ז,1,רגיל,25,1,מתמטיקה,העיר ירושלים,,,,,,,,
267930- אלמוסתקבל אלאהלייה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,ענאיה אבו סנינה,ז,1,רגיל,29,1,מתמטיקה,העיר ירושלים,,,,,,,,
347757- סאדברי ירושלים,ירושלים,ממלכתי,העיר ירושלים,יהודי,אסנת עוזיאל,שחר יצחק גרוסמן,ז,1,רגיל,8,1,מתמטיקה,העיר ירושלים,,,,,,,,
353458- יסודי שועפט,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,מופיד אבו גוש,ז,2,רגיל,16,1,מתמטיקה,העיר ירושלים,,,,,,,,
"368084- בי""ס ע""י אלאספניול",ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,סאלי רפידי,ז,1,רגיל,18,1,מתמטיקה,העיר ירושלים,,,,,,,,
440412- תיכון מקיף אלראזי,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,אלאא אלעדרה,ז,1,רגיל,45,1,מתמטיקה,העיר ירושלים,,,,,,,,
512459- הניסויי כפר אדומים,מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,נועם שכטר,ז,1,רגיל,22,1,מתמטיקה,ירושלים,,,,,,,,
512509- קדם,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,אהרון פרידלנדר,ז,2,רגיל,10,1,מתמטיקה,ירושלים,,,,,,,,
615948- ישיבת מקור חיים,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,יהונתן גוטמן,ז,1,רגיל,34,1,מתמטיקה,העיר ירושלים,,,,,,,,
"615955- אח""י תקוע 2",גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,יהונתן אהוביה רוזנק,ז,2,רגיל,23,1,מתמטיקה,ירושלים,,,,,,,,
616508- אלסופרא,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,רובא חשים אבו דייה,ז,1,רגיל,28,1,מתמטיקה,העיר ירושלים,,,,,,,,
634840- חיואר,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,מנאל דראושה,ז,1,רגיל,25,1,מתמטיקה,העיר ירושלים,,,,,,,,
641407- אלמתנבי,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,עאסם חסונה,ז,1,רגיל,18,1,מתמטיקה,העיר ירושלים,,,,,,,,
650028- אלקימה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,יאסמין בלעום,ז,1,רגיל,29,1,מתמטיקה,העיר ירושלים,,,,,,,,
733527- סאדברי-עמק האלה,מטה יהודה,ממלכתי,ירושלים,יהודי,ליאת אלהרר כהן,סיגל שיבובסקי,ז,1,רגיל,4,1,מתמטיקה,ירושלים,,,,,,,,
771089- התיכון הניסויי,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,גיל שלה,ז,2,רגיל,26,1,מתמטיקה,העיר ירושלים,,,,,,,,
113324- בית-אל בנים,בית אל,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,ירון גיאת,ז,1,רגיל,29,0,מתמטיקה,ירושלים,,,,,,,,
117002- אל-מוטראן,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,ריצ'רד זנאנירי,ז,1,רגיל,31,0,מתמטיקה,העיר ירושלים,,,,,,,,
